movieid,Title,Plot,Year,Genre,Runtime,Language,Director,Actors,IMDB,Pic,Youtube
tt0986264,Taare Zameen Par,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",2007,Drama | Family,2h 45min,"Hindi, English",Aamir Khan,"Darsheel Safary, Aamir Khan",/title/tt0986264/,tt0986264.jpg,tn_2Ie_jtX8
tt0086190,Star Wars: Episode VI - Return of the Jedi,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor''s trap.",1983,Action | Adventure | Fantasy,2h 11min,English,Richard Marquand,"Mark Hamill, Harrison Ford",/title/tt0086190/,tt0086190.jpg,7L8p7_SLzvU
tt0086879,Amadeus,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart''s talent and claimed to have murdered him.",1984,Biography | Drama | History,2h 40min,"English, Italian, Latin, German",Milos Forman,"F. Murray Abraham, Tom Hulce",/title/tt0086879/,tt0086879.jpg,r7kWQj9FCGY
tt0105236,Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",1992,Crime | Drama | Thriller,1h 39min,English,Quentin Tarantino,"Harvey Keitel, Tim Roth",/title/tt0105236/,tt0105236.jpg,vayksn4Y93A
tt0361748,Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner''s vengeful plans for the same.",2009,Adventure | Drama | War,2h 33min,"English, German, French, Italian",Quentin Tarantino,"Brad Pitt, Diane Kruger",/title/tt0361748/,tt0361748.jpg,KnrRy6kSFF0
tt0119217,Good Will Hunting,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",1997,Drama | Romance,2h 6min,English,Gus Van Sant,"Robin Williams, Matt Damon",/title/tt0119217/,tt0119217.jpg,PaZVjZEFkRs
tt0062622,2001: A Space Odyssey,"After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",1968,Adventure | Sci-Fi,2h 29min,"English, Russian",Stanley Kubrick,"Keir Dullea, Gary Lockwood",/title/tt0062622/,tt0062622.jpg,oR_e9y-bka0
tt0180093,Requiem for a Dream,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,2000,Drama,1h 42min,English,Darren Aronofsky,"Ellen Burstyn, Jared Leto",/title/tt0180093/,tt0180093.jpg,jzk-lmU4KZ4
tt0052357,Vertigo,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,1958,Mystery | Romance | Thriller,2h 8min,English,Alfred Hitchcock,"James Stewart, Kim Novak",/title/tt0052357/,tt0052357.jpg,Z5jvQwwHQNY
tt0022100,M - Eine Stadt sucht einen Mörder,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",1931,Crime | Mystery | Thriller,1h 57min,German,Fritz Lang,"Peter Lorre, Ellen Widmann",/title/tt0022100/,tt0022100.jpg,OYEc7ZpHcdQ
tt5074352,Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,2016,Action | Biography | Drama,2h 41min,"Hindi, Tamil, Telugu",Nitesh Tiwari,"Aamir Khan, Sakshi Tanwar",/title/tt5074352/,tt5074352.jpg,x_7YlGv9u1g
tt0338013,Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",2004,Drama | Romance | Sci-Fi,1h 48min,English,Michel Gondry,"Jim Carrey, Kate Winslet",/title/tt0338013/,tt0338013.jpg,07-QBnEkgXU
tt0033467,Citizen Kane,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; ''Rosebud''.",1941,Drama | Mystery,1h 59min,"English, Italian",Orson Welles,"Orson Welles, Joseph Cotten",/title/tt0033467/,tt0033467.jpg,8dxh3lwdOFw
tt2106476,Jagten,"A teacher lives a lonely life, all the while struggling over his son''s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",2012,Drama,1h 55min,"Danish, English, Polish",Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen",/title/tt2106476/,tt2106476.jpg,ieLIOBkMgAQ
tt0093058,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,1987,Drama | War,1h 56min,"English, Vietnamese",Stanley Kubrick,"Matthew Modine, R. Lee Ermey",/title/tt0093058/,tt0093058.jpg,sOpuEhyAq5U
tt0053125,North by Northwest,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,1959,Adventure | Mystery | Thriller,2h 16min,"English, French",Alfred Hitchcock,"Cary Grant, Eva Marie Saint",/title/tt0053125/,tt0053125.jpg,VZmbbx2p4yI
tt0066921,A Clockwork Orange,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn''t go as planned.",1971,Crime | Drama | Sci-Fi,2h 16min,English,Stanley Kubrick,"Malcolm McDowell, Patrick Magee",/title/tt0066921/,tt0066921.jpg,vN-1Mup0UI0
tt0208092,Snatch,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",2000,Comedy | Crime,1h 44min,"English, Russian",Guy Ritchie,"Jason Statham, Brad Pitt",/title/tt0208092/,tt0208092.jpg,9Jar2XkBboo
tt0012349,The Kid,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",1921,Comedy | Drama | Family,1h 8min,English,Charles Chaplin,"Charles Chaplin, Edna Purviance",/title/tt0012349/,tt0012349.jpg,KpMZXrRo99g
tt0040522,Ladri di biciclette,"In post-war Italy, a working-class man''s bicycle is stolen. He and his son set out to find it.",1948,Drama,1h 29min,"Italian, English",Vittorio De Sica,"Lamberto Maggiorani, Enzo Staiola",/title/tt0040522/,tt0040522.jpg,H2P4xo9kmPM
tt0045152,Singin'' in the Rain,A silent film production company and cast make a difficult transition to sound.,1952,Comedy | Musical | Romance,1h 43min,English,Stanley Donen,"Gene Kelly, Donald O''Connor",/title/tt0045152/,tt0045152.jpg,5_EVHeNEIJY
tt0086250,Scarface,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",1983,Crime | Drama,2h 50min,"English, Spanish",Brian De Palma,"Al Pacino, Michelle Pfeiffer",/title/tt0086250/,tt0086250.jpg,7pQQHnqBa2E
tt0075314,Taxi Driver,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",1976,Crime | Drama,1h 54min,"English, Spanish",Martin Scorsese,"Robert De Niro, Jodie Foster",/title/tt0075314/,tt0075314.jpg,UUxD4-dEzn0
tt0211915,Amélie,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.",2001,Comedy | Romance,2h 2min,"French, Russian, English",Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz",/title/tt0211915/,tt0211915.jpg,HUECWi5pX7o
tt0056172,Lawrence of Arabia,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",1962,Adventure | Biography | Drama,3h 48min,"English, Arabic, Turkish",David Lean,"Peter O''Toole, Alec Guinness",/title/tt0056172/,tt0056172.jpg,vOlRhGEhG7k
tt8267604,Capharnaüm,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",2018,Drama,2h 6min,"Arabic, Amharic",Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw",/title/tt8267604/,tt8267604.jpg,JBecbs52Fpo
tt0435761,Toy Story 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it''s up to Woody to convince the other toys that they weren''t abandoned and to return home.",2010,Animation | Adventure | Comedy,1h 43min,"English, Spanish",Lee Unkrich,"Tom Hanks, Tim Allen",/title/tt0435761/,tt0435761.jpg,JcpWXaA2qeg
tt0070735,The Sting,Two grifters team up to pull off the ultimate con.,1973,Comedy | Crime | Drama,2h 9min,English,George Roy Hill,"Paul Newman, Robert Redford",/title/tt0070735/,tt0070735.jpg,LN2hBOIXhBs
tt0017136,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city''s mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",1927,Drama | Sci-Fi,2h 33min,German,Fritz Lang,"Brigitte Helm, Alfred Abel",/title/tt0017136/,tt0017136.jpg,gdtZv3XROnc
tt0059578,Per qualche dollaro in più,Two bounty hunters with the same intentions team up to track down a Western outlaw.,1965,Western,2h 12min,"Italian, English",Sergio Leone,"Clint Eastwood, Lee Van Cleef",/title/tt0059578/,tt0059578.jpg,Ku9NtEG6ivU
tt0044741,Ikiru,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,1952,Drama,2h 23min,Japanese,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko",/title/tt0044741/,tt0044741.jpg,vjEw_kM_82k
tt1832382,A Separation,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer''s disease.,2011,Drama,2h 3min,Persian,Asghar Farhadi,"Payman Maadi, Leila Hatami",/title/tt1832382/,tt1832382.jpg,58Onuy5USTc
tt0036775,Double Indemnity,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,1944,Crime | Drama | Film-Noir,1h 47min,English,Billy Wilder,"Fred MacMurray, Barbara Stanwyck",/title/tt0036775/,tt0036775.jpg,yKrrAa2o9Eg
tt0056592,To Kill a Mockingbird,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",1962,Crime | Drama,2h 9min,English,Robert Mulligan,"Gregory Peck, John Megna",/title/tt0056592/,tt0056592.jpg,KR7loA_oziY
tt0053604,The Apartment,"A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",1960,Comedy | Drama | Romance,2h 5min,English,Billy Wilder,"Jack Lemmon, Shirley MacLaine",/title/tt0053604/,tt0053604.jpg,GX9-5Zxy5us
tt1255953,Incendies,Twins journey to the Middle East to discover their family history and fulfill their mother''s last wishes.,2010,Drama | Mystery | War,2h 11min,"French, Arabic, English",Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin",/title/tt1255953/,tt1255953.jpg,0nycksytL1A
tt1049413,Up,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",2009,Animation | Adventure | Comedy,1h 36min,English,Pete Docter,"Edward Asner, Jordan Nagai",/title/tt1049413/,tt1049413.jpg,ORFWdXl_zJ4
tt0119488,LA Confidential,"As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice.",1997,Crime | Drama | Mystery,2h 18min,English,Curtis Hanson,"Kevin Spacey, Russell Crowe",/title/tt0119488/,tt0119488.jpg,6sOXrY5yV4g
tt0071853,Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",1975,Adventure | Comedy | Fantasy,1h 31min,"English, French, Latin",Terry Gilliam,"Graham Chapman, John Cleese",/title/tt0071853/,tt0071853.jpg,urRkGvhXc8w
tt0113277,Heat,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,1995,Crime | Drama | Thriller,2h 50min,"English, Spanish",Michael Mann,"Al Pacino, Robert De Niro",/title/tt0113277/,tt0113277.jpg,2GfZl4kuVNI
tt0042876,Rashômon,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai''s ghost and a woodcutter.",1950,Crime | Drama | Mystery,1h 28min,Japanese,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô",/title/tt0042876/,tt0042876.jpg,xCZ9TguVOIA
tt0095016,Die Hard,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,1988,Action | Thriller,2h 12min,"English, German, Italian, Japanese",John McTiernan,"Bruce Willis, Alan Rickman",/title/tt0095016/,tt0095016.jpg,jaJuwKCmJbY
tt0055630,Yôjinbô,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,1961,Action | Drama | Thriller,1h 50min,Japanese,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno",/title/tt0055630/,tt0055630.jpg,y_1iT_GmHTE
tt0372784,Batman Begins,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",2005,Action | Adventure,2h 20min,"English, Mandarin",Christopher Nolan,"Christian Bale, Michael Caine",/title/tt0372784/,tt0372784.jpg,neY2xVmOfUM
tt0105695,Unforgiven,"Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job, with the help of his old partner Ned Logan (Morgan Freeman) and a young man, The ""Schofield Kid"" (Jaimz Woolvett).",1992,Drama | Western,2h 10min,English,Clint Eastwood,"Clint Eastwood, Gene Hackman",/title/tt0105695/,tt0105695.jpg,ftTX4FoBWlE
tt0363163,Downfall,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator''s final days in his Berlin bunker at the end of WWII.",2004,Biography | Drama | History,2h 36min,"German, Russian",Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara",/title/tt0363163/,tt0363163.jpg,2dzKgq4zl4E
tt6966692,Green Book,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,2018,Biography | Comedy | Drama,2h 10min,"English, Italian, Russian, German",Peter Farrelly,"Viggo Mortensen, Mahershala Ali",/title/tt6966692/,tt6966692.jpg,QkZxoko_HC0
tt0118849,Children of Heaven,"After a boy loses his sister''s pair of shoes, he goes on a series of adventures in order to find them. When he can''t, he tries a new way to ""win"" a new pair.",1997,Drama | Family | Sport,1h 29min,Persian,Majid Majidi,"Mohammad Amir Naji, Amir Farrokh Hashemian",/title/tt0118849/,tt0118849.jpg,dqxvZeQsVzY
tt0091251,Come and See,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",1985,Drama | War,2h 22min,"Belarusian, Russian, German",Elem Klimov,"Aleksey Kravchenko, Olga Mironova",/title/tt0091251/,tt0091251.jpg,6HCTIUx1Arc
tt0053291,Some Like It Hot,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",1959,Comedy | Music | Romance,2h 1min,English,Billy Wilder,"Marilyn Monroe, Tony Curtis",/title/tt0053291/,tt0053291.jpg,rI_lUHOCcbc
tt0347149,Howl's Moving Castle,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",2004,Animation | Adventure | Family,1h 59min,Japanese,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura",/title/tt0347149/,tt0347149.jpg,iwROgK94zcM
tt0089881,Ran,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",1985,Action | Drama,2h 42min,Japanese,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao",/title/tt0089881/,tt0089881.jpg,YwP_kXyd-Rw
tt0057115,The Great Escape,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,1963,Adventure | Drama | History,2h 52min,"English, German, French, Russian, Spanish",John Sturges,"Steve McQueen, James Garner",/title/tt0057115/,tt0057115.jpg,r9Q_WESQUVw
tt0042192,All About Eve,An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.,1950,Drama,2h 18min,"English, French",Joseph L. Mankiewicz,"Bette Davis, Anne Baxter",/title/tt0042192/,tt0042192.jpg,LSntQerk8cQ
tt0268978,A Beautiful Mind,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",2001,Biography | Drama,2h 15min,English,Ron Howard,"Russell Crowe, Ed Harris",/title/tt0268978/,tt0268978.jpg,9wZM7CQY130
tt0112641,Casino,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.",1995,Crime | Drama,2h 58min,English,Martin Scorsese,"Robert De Niro, Sharon Stone",/title/tt0112641/,tt0112641.jpg,EJXDMwGWhoA
tt0096283,My Neighbor Totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",1988,Animation | Family | Fantasy,1h 26min,Japanese,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka",/title/tt0096283/,tt0096283.jpg,92a7Hj0ijLs
tt0457430,Pan''s Labyrinth,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",2006,Drama | Fantasy | War,1h 58min,Spanish,Guillermo del Toro,"Ivana Baquero, Ariadna Gil",/title/tt0457430/,tt0457430.jpg,AcHasH-nLhU
tt0081398,Raging Bull,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",1980,Biography | Drama | Sport,2h 9min,English,Martin Scorsese,"Robert De Niro, Cathy Moriarty",/title/tt0081398/,tt0081398.jpg,yUp6d79WRVI
tt1305806,El secreto de sus ojos,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,2009,Drama | Mystery | Romance,2h 9min,Spanish,Juan José Campanella,"Ricardo Darín, Soledad Villamil",/title/tt1305806/,tt1305806.jpg,viV-OC4bpOw
tt0120735,"Lock, Stock and Two Smoking Barrels","A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",1998,Comedy | Crime,1h 47min,English,Guy Ritchie,"Jason Flemyng, Dexter Fletcher",/title/tt0120735/,tt0120735.jpg,h6hZkvrFIj0
tt0993846,The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",2013,Biography | Crime | Drama,3h,"English, French",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill",/title/tt0993846/,tt0993846.jpg,iszwuX1AK6A
tt0040897,The Treasure of the Sierra Madre,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,1948,Adventure | Drama | Western,2h 6min,"English, Spanish",John Huston,"Humphrey Bogart, Walter Huston",/title/tt0040897/,tt0040897.jpg,XZ8Q9mOYJgE
tt0055031,Judgment at Nuremberg,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",1961,Drama | War,2h 59min,"English, German",Stanley Kramer,"Spencer Tracy, Burt Lancaster",/title/tt0055031/,tt0055031.jpg,RfOgZXIQ6fo
tt5027774,"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter''s murder when they fail to catch the culprit.,2017,Comedy | Crime | Drama,1h 55min,English,Martin McDonagh,"Frances McDormand, Woody Harrelson",/title/tt5027774/,tt5027774.jpg,Jit3YhGx5pU
tt0469494,There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",2007,Drama,2h 38min,"English, American Sign Language",Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano",/title/tt0469494/,tt0469494.jpg,FeSLPELpMeM
tt0071315,Chinatown,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder.",1974,Drama | Mystery | Thriller,2h 10min,"English, Cantonese, Spanish",Roman Polanski,"Jack Nicholson, Faye Dunaway",/title/tt0071315/,tt0071315.jpg,p39LFdGI-YA
tt0476735,Babam ve Oglum,The family of a left-wing journalist is torn apart after a military coup in 1980''s Turkey.,2005,Drama | Family,1h 48min,Turkish,Çagan Irmak,"Çetin Tekindor, Fikret Kuskan",/title/tt0476735/,tt0476735.jpg,_hBUgycpATk
tt0015864,The Gold Rush,A prospector goes to the Klondike in search of gold and finds it and more.,1925,Adventure | Comedy | Drama,1h 35min,English,Charles Chaplin,"Charles Chaplin, Mack Swain",/title/tt0015864/,tt0015864.jpg,8LB-fw4efXo
tt0046912,Dial M for Murder,A tennis player frames his neglected wife for murder after she inadvertently foils his plan to have her murdered.,1954,Crime | Thriller,1h 45min,English,Alfred Hitchcock,"Ray Milland, Grace Kelly",/title/tt0046912/,tt0046912.jpg,JWP_hrNHSN4
tt0434409,V for Vendetta,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",2005,Action | Drama | Sci-Fi,2h 12min,English,James McTeigue,"Hugo Weaving, Natalie Portman",/title/tt0434409/,tt0434409.jpg,lSA7mAHolAw
tt0050976,The Seventh Seal,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",1957,Drama | Fantasy,1h 36min,"Swedish, Latin",Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand",/title/tt0050976/,tt0050976.jpg,NtkFei4wRjE
tt2096673,Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",2015,Animation | Adventure | Comedy,1h 35min,English,Pete Docter,"Amy Poehler, Bill Hader",/title/tt2096673/,tt2096673.jpg,seMwpP0yeu4
tt0477348,No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,2007,Crime | Drama | Thriller,2h 2min,"English, Spanish",Ethan Coen,"Tommy Lee Jones, Javier Bardem",/title/tt0477348/,tt0477348.jpg,38A__WT3-o0
tt1291584,Warrior,"The youngest son of an alcoholic former boxer returns home, where he''s trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",2011,Drama | Sport,2h 20min,"English, Spanish",Gavin O''Connor,"Tom Hardy, Nick Nolte",/title/tt1291584/,tt1291584.jpg,I5kzcwcQA1Q
tt0117951,Trainspotting,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",1996,Drama,1h 33min,English,Danny Boyle,"Ewan McGregor, Ewen Bremner",/title/tt0117951/,tt0117951.jpg,8LuxOYIpu-I
tt1130884,Shutter Island,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",2010,Mystery | Thriller,2h 18min,"English, German",Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer",/title/tt1130884/,tt1130884.jpg,5iaYLCiq5RM
tt0080678,The Elephant Man,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.",1980,Biography | Drama,2h 4min,English,David Lynch,"Anthony Hopkins, John Hurt",/title/tt0080678/,tt0080678.jpg,ZvJuJKOmZAY
tt0167404,The Sixth Sense,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,1999,Drama | Mystery | Thriller,1h 47min,"English, Latin, Spanish",M. Night Shyamalan,"Bruce Willis, Haley Joel Osment",/title/tt0167404/,tt0167404.jpg,3-ZP95NF_Wk
tt0084787,The Thing,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,1982,Horror | Mystery | Sci-Fi,1h 49min,"English, Norwegian",John Carpenter,"Kurt Russell, Wilford Brimley",/title/tt0084787/,tt0084787.jpg,0IBCWdlr-fA
tt3170832,Room,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",2015,Drama | Thriller,1h 58min,English,Lenny Abrahamson,"Brie Larson, Jacob Tremblay",/title/tt3170832/,tt3170832.jpg,E_Ci-pAL4eE
